beneficiaria_id;beneficiaria_nome;id;secretaria_id;secretaria_sigla;valor_recurso;valor_repasse;ano_recurso;beneficiaria_nome_norm;match_name;match_cnpj;match_type;score;cd_natureza_juridica;natureza_juridica_desc
475;VIDAS RECICLADAS;2129;12;SEDUC;1030831,2;245436,0;2022;VIDAS RECICLADAS;VIDAS RECICLADAS;8706506000718,0;Exact;1,0;3999,0;Associacao Privada
478;PRÃ“ VIVER OBRAS SOCIAIS E EDUCACIONAIS;2136;19;SEDS;106031,13;8835,93;2022;PRA VIVER OBRAS SOCIAIS E EDUCACIONAIS;PRO VIVER OBRAS SOCIAIS E EDUCACIONAIS;68025576000147,0;Fuzzy;0,9736842105263158;3999,0;Associacao Privada
463;INSTITUTO SOCIAL HOSPITAL ALEMÃO OSWALDO CRUZ;2137;13;SMS;27560027,0;1962505,0;2022;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;22315713000349,0;Exact;1,0;3999,0;Associacao Privada
463;INSTITUTO SOCIAL HOSPITAL ALEMÃO OSWALDO CRUZ;2138;13;SMS;66754999,0;1703985,98;2022;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;22315713000349,0;Exact;1,0;3999,0;Associacao Privada
463;INSTITUTO SOCIAL HOSPITAL ALEMÃO OSWALDO CRUZ;2139;13;SMS;66754999,0;4500000,0;2022;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;22315713000349,0;Exact;1,0;3999,0;Associacao Privada
463;INSTITUTO SOCIAL HOSPITAL ALEMÃO OSWALDO CRUZ;2140;13;SMS;66754999,0;2796014,02;2022;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;22315713000349,0;Exact;1,0;3999,0;Associacao Privada
113;ASSOCIAÃ‡ÃƒO DE ASSISTÃŠNCIA Ã€ INFÃ‚NCIA ESTRELA GUIA;2141;12;SEDUC;754368,43;179611,53;2022;ASSOCIAAAO DE ASSISTASNCIA A INFANCIA ESTRELA GUIA;ASSOCIACAO DE ASSISTENCIA A INFANCIA ESTRELA GUIA;64715899000101,0;Fuzzy;0,9494949494949495;3999,0;Associacao Privada
468;LAR ESPÍRITA MENSAGEIROS DA LUZ;2147;19;SEDS;134249,06;11187,42;2022;LAR ESPIRITA MENSAGEIROS DA LUZ;LAR ESPIRITA MENSAGEIROS DA LUZ - PARALISIA CEREBRAL;46781142000134,0;Substring;0,6961538461538461;3999,0;Associacao Privada
98;ASSOCIAÃ‡ÃƒO BENEFICENTE ÃGAPE;2150;12;SEDUC;875864,68;208539,21;2022;ASSOCIAAAO BENEFICENTE AGAPE;ASSOCIACAO BENEFICENTE AGAPE;10415947000117,0;Fuzzy;0,9642857142857143;3999,0;Associacao Privada
468;LAR ESPÍRITA MENSAGEIROS DA LUZ;2151;19;SEDS;134249,06;11187,42;2022;LAR ESPIRITA MENSAGEIROS DA LUZ;LAR ESPIRITA MENSAGEIROS DA LUZ - PARALISIA CEREBRAL;46781142000134,0;Substring;0,6961538461538461;3999,0;Associacao Privada
16;GALP - GRUPO AMIGO DO LAR POBRE;2152;19;SEDS;146058,79;12171,57;2022;GALP - GRUPO AMIGO DO LAR POBRE;GRUPO DE APOIO A INCLUSAO SOCIAL E PROFISSIONAL;58258633000184,0;Manual (GALP);1,0;3999,0;Associacao Privada
203;EDUCANDÁRIO SANTISTA;2153;19;SEDS;368594,24;30716,19;2022;EDUCANDARIO SANTISTA;EDUCANDARIO SANTISTA;58247503000146,0;Exact;1,0;3999,0;Associacao Privada
118;APAE - ASSOCIAÃ‡ÃƒO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS;2158;19;SEDS;86173,64;7181,13;2022;APAE - ASSOCIAAAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS;58238866000387,0;Fuzzy;0,9217391304347826;3999,0;Associacao Privada
118;APAE - ASSOCIAÃ‡ÃƒO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS;2159;19;SEDS;7747,01;645,58;2022;APAE - ASSOCIAAAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS;58238866000387,0;Fuzzy;0,9217391304347826;3999,0;Associacao Privada
5;ASILO DE INVÁLIDOS DE SANTOS;2168;19;SEDS;626764,32;52230,36;2022;ASILO DE INVALIDOS DE SANTOS;ASILO DE INVALIDOS DE SANTOS;58219551000201,0;Exact;1,0;3999,0;Associacao Privada
57;APM DA UME MARTINS FONTES ;2184;12;SEDUC;13680,0;2280,0;2022;APM DA UME MARTINS FONTES;ACADEMIA SANTISTA DE LETRAS;48678387000166,0;Fuzzy;0,8085106382978723;3999,0;Associacao Privada
469;LAR EVANGÃ‰LICO DE AMPARO Ã€ VELHICE;2186;19;SEDS;610147,2;50845,6;2022;LAR EVANGALICO DE AMPARO A VELHICE;LAR EVANGELICO DE AMPARO A VELHICE;52246451000107,0;Fuzzy;0,9705882352941176;3999,0;Associacao Privada
190;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAÃ‡ÃƒO ESPECIAL SIMONE C HORCEL;2187;13;SMS;30000,0;30000,0;2022;CIEESH - CENTRO INTERDISCIPLINAR DE EDUCAAAO ESPECIAL SIMONE C HORCEL;CENTRO INTERDISCIPLINAR DE EDUCACAO ESPECIAL SIMONE C HORCEL;26841083000135,0;Fuzzy;0,9147286821705426;3999,0;Associacao Privada
475;VIDAS RECICLADAS;2188;19;SEDS;454959,78;75826,63;2022;VIDAS RECICLADAS;VIDAS RECICLADAS;8706506000718,0;Exact;1,0;3999,0;Associacao Privada
